===========================
======World of Debug=======
===========================

Current screen: 1920 x 1080 x 16 @60Hz
Game.Main Loading and drawing textures for tiles, 3421 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 1711 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 2138 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 428 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 427 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Main Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 5559 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 3421 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 3421 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2993 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2566 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2565 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2138 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 3421 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2138 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2566 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2566 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2993 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Creating Inventory data, 156544403 ns, 156 ms.
Game.Main Loading and drawing textures for tiles, 855 ns, 0 ms.
Creating Inventory data, 159783197 ns, 159 ms.
Creating Inventory data, 153147390 ns, 153 ms.
Game.Inventory Loading and drawing textures for tiles, 5559 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2566 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1711 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1711 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1710 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2565 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2138 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2139 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1711 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1710 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1711 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2139 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2138 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Creating Inventory data, 167879326 ns, 167 ms.
Game.Main Loading and drawing textures for tiles, 427 ns, 0 ms.
Creating Inventory data, 155411210 ns, 155 ms.
Creating Inventory data, 153998354 ns, 153 ms.
Game.Inventory Loading and drawing textures for tiles, 7270 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2138 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 3421 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2993 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 1283 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 2993 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 3421 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 856 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 3421 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 855 ns, 0 ms.
Game.Inventory Loading and drawing textures for tiles, 4276 ns, 0 ms.
